cue target 1930, cosine similarity=0.09
shadow black 1980, cosine similarity=0.13

shadow follow 1930, cosine similarity=-0.05
shadow follow 1940, cosine similarity=0.03
shadow follow 1950, cosine similarity=-0.03
shadow follow 1960, cosine similarity=0.00
shadow follow 1970, cosine similarity=-0.05
shadow follow 1980, cosine similarity=-0.08

shadow sun 1930, cosine similarity=0.23
shadow sun 1940, cosine similarity=0.29
shadow sun 1950, cosine similarity=0.27
shadow sun 1960, cosine similarity=0.23
shadow sun 1970, cosine similarity=0.28
shadow sun 1980, cosine similarity=0.27

shadow eye 1930, cosine similarity=0.22
shadow eye 1940, cosine similarity=0.21
shadow eye 1950, cosine similarity=0.19
shadow eye 1960, cosine similarity=0.19
shadow eye 1970, cosine similarity=0.19
shadow eye 1980, cosine similarity=0.17

shadow box 1930, cosine similarity=0.04
shadow box 1940, cosine similarity=0.05
shadow box 1950, cosine similarity=0.09
shadow box 1960, cosine similarity=-0.08
shadow box 1970, cosine similarity=-0.02
shadow box 1980, cosine similarity=-0.01

shadow shade 1930, cosine similarity=0.42
shadow shade 1940, cosine similarity=0.44
shadow shade 1950, cosine similarity=0.45
shadow shade 1960, cosine similarity=0.47
shadow shade 1970, cosine similarity=0.46
shadow shade 1980, cosine similarity=0.43

shadow doubt 1930, cosine similarity=0.33
shadow doubt 1940, cosine similarity=0.32
shadow doubt 1950, cosine similarity=0.27
shadow doubt 1960, cosine similarity=0.31
shadow doubt 1970, cosine similarity=0.25
shadow doubt 1980, cosine similarity=0.29

shadow person 1930, cosine similarity=0.02
shadow person 1940, cosine similarity=-0.06
shadow person 1950, cosine similarity=-0.02
shadow person 1960, cosine similarity=-0.04
shadow person 1970, cosine similarity=-0.01
shadow person 1980, cosine similarity=0.06

shadow cool 1930, cosine similarity=0.09
shadow cool 1940, cosine similarity=0.07
shadow cool 1950, cosine similarity=0.08
shadow cool 1960, cosine similarity=0.13
shadow cool 1970, cosine similarity=0.14
shadow cool 1980, cosine similarity=0.10

shadow ghost 1930, cosine similarity=0.26
shadow ghost 1940, cosine similarity=0.30
shadow ghost 1950, cosine similarity=0.32
shadow ghost 1960, cosine similarity=0.32
shadow ghost 1970, cosine similarity=0.30
shadow ghost 1980, cosine similarity=0.26

shadow light 1930, cosine similarity=0.25
shadow light 1940, cosine similarity=0.28
shadow light 1950, cosine similarity=0.32
shadow light 1960, cosine similarity=0.32
shadow light 1970, cosine similarity=0.24
shadow light 1980, cosine similarity=0.27

shadow night 1930, cosine similarity=0.18
shadow night 1940, cosine similarity=0.22
shadow night 1950, cosine similarity=0.22
shadow night 1960, cosine similarity=0.27
shadow night 1970, cosine similarity=0.16
shadow night 1980, cosine similarity=0.11

shadow tree 1930, cosine similarity=0.31
shadow tree 1940, cosine similarity=0.35
shadow tree 1950, cosine similarity=0.31
shadow tree 1960, cosine similarity=0.26
shadow tree 1970, cosine similarity=0.25
shadow tree 1980, cosine similarity=0.33

shadow alley 1930, cosine similarity=0.16
shadow alley 1940, cosine similarity=0.15
shadow alley 1950, cosine similarity=0.19
shadow alley 1960, cosine similarity=0.11
shadow alley 1970, cosine similarity=0.09
shadow alley 1980, cosine similarity=0.21

shadow hide 1930, cosine similarity=0.19
shadow hide 1940, cosine similarity=0.30
shadow hide 1950, cosine similarity=0.29
shadow hide 1960, cosine similarity=0.27
shadow hide 1970, cosine similarity=0.24
shadow hide 1980, cosine similarity=0.25

shadow man 1930, cosine similarity=0.14
shadow man 1940, cosine similarity=0.07
shadow man 1950, cosine similarity=0.15
shadow man 1960, cosine similarity=0.22
shadow man 1970, cosine similarity=0.11
shadow man 1980, cosine similarity=0.15

shadow silhouette 1930, cosine similarity=0.28
shadow silhouette 1940, cosine similarity=0.32
shadow silhouette 1950, cosine similarity=0.39
shadow silhouette 1960, cosine similarity=0.15
shadow silhouette 1970, cosine similarity=0.26
shadow silhouette 1980, cosine similarity=0.08

shag dog 1930, cosine similarity=0.00
shag dog 1940, cosine similarity=0.00
shag dog 1950, cosine similarity=0.00
shag dog 1960, cosine similarity=0.00
shag dog 1970, cosine similarity=0.00
shag dog 1980, cosine similarity=0.00

shag carpet 1930, cosine similarity=0.00
shag carpet 1940, cosine similarity=0.00
shag carpet 1950, cosine similarity=0.00
shag carpet 1960, cosine similarity=0.00
shag carpet 1970, cosine similarity=0.00
shag carpet 1980, cosine similarity=0.00

shag rug 1930, cosine similarity=0.00
shag rug 1940, cosine similarity=0.00
shag rug 1950, cosine similarity=0.00
shag rug 1960, cosine similarity=0.00
shag rug 1970, cosine similarity=0.00
shag rug 1980, cosine similarity=0.00

shag dance 1930, cosine similarity=0.00
shag dance 1940, cosine similarity=0.00
shag dance 1950, cosine similarity=0.00
shag dance 1960, cosine similarity=0.00
shag dance 1970, cosine similarity=0.00
shag dance 1980, cosine similarity=0.00

shag hair 1930, cosine similarity=0.00
shag hair 1940, cosine similarity=0.00
shag hair 1950, cosine similarity=0.00
shag hair 1960, cosine similarity=0.00
shag hair 1970, cosine similarity=0.00
shag hair 1980, cosine similarity=0.00

shag catch 1930, cosine similarity=0.00
shag catch 1940, cosine similarity=0.00
shag catch 1950, cosine similarity=0.00
shag catch 1960, cosine similarity=0.00
shag catch 1970, cosine similarity=0.00
shag catch 1980, cosine similarity=0.00

shag fag 1930, cosine similarity=0.00
shag fag 1940, cosine similarity=0.00
shag fag 1950, cosine similarity=0.00
shag fag 1960, cosine similarity=0.00
shag fag 1970, cosine similarity=0.00
shag fag 1980, cosine similarity=0.00

shag hairy 1930, cosine similarity=0.00
shag hairy 1940, cosine similarity=0.00
shag hairy 1950, cosine similarity=0.00
shag hairy 1960, cosine similarity=0.00
shag hairy 1970, cosine similarity=0.00
shag hairy 1980, cosine similarity=0.00

shag messy 1930, cosine similarity=0.00
shag messy 1940, cosine similarity=0.00
shag messy 1950, cosine similarity=0.00
shag messy 1960, cosine similarity=0.00
shag messy 1970, cosine similarity=0.00
shag messy 1980, cosine similarity=0.00

shag rag 1930, cosine similarity=0.00
shag rag 1940, cosine similarity=0.00
shag rag 1950, cosine similarity=0.00
shag rag 1960, cosine similarity=0.00
shag rag 1970, cosine similarity=0.00
shag rag 1980, cosine similarity=0.00

shake rattle 1930, cosine similarity=0.20
shake rattle 1940, cosine similarity=0.21
shake rattle 1950, cosine similarity=0.23
shake rattle 1960, cosine similarity=0.28
shake rattle 1970, cosine similarity=0.30
shake rattle 1980, cosine similarity=0.26

shake milk 1930, cosine similarity=-0.02
shake milk 1940, cosine similarity=0.06
shake milk 1950, cosine similarity=-0.03
shake milk 1960, cosine similarity=0.06
shake milk 1970, cosine similarity=0.14
shake milk 1980, cosine similarity=0.13

shake chocolate 1930, cosine similarity=0.05
shake chocolate 1940, cosine similarity=0.12
shake chocolate 1950, cosine similarity=0.08
shake chocolate 1960, cosine similarity=0.12
shake chocolate 1970, cosine similarity=0.17
shake chocolate 1980, cosine similarity=0.18

shake shiver 1930, cosine similarity=0.31
shake shiver 1940, cosine similarity=0.35
shake shiver 1950, cosine similarity=0.35
shake shiver 1960, cosine similarity=0.26
shake shiver 1970, cosine similarity=0.28
shake shiver 1980, cosine similarity=0.33

shake hands 1930, cosine similarity=0.20
shake hands 1940, cosine similarity=0.29
shake hands 1950, cosine similarity=0.24
shake hands 1960, cosine similarity=0.31
shake hands 1970, cosine similarity=0.27
shake hands 1980, cosine similarity=0.26

shake bake 1930, cosine similarity=0.11
shake bake 1940, cosine similarity=0.22
shake bake 1950, cosine similarity=0.15
shake bake 1960, cosine similarity=0.20
shake bake 1970, cosine similarity=0.24
shake bake 1980, cosine similarity=0.25

shake cold 1930, cosine similarity=0.19
shake cold 1940, cosine similarity=0.18
shake cold 1950, cosine similarity=0.19
shake cold 1960, cosine similarity=0.17
shake cold 1970, cosine similarity=0.22
shake cold 1980, cosine similarity=0.17

shake roll 1930, cosine similarity=0.11
shake roll 1940, cosine similarity=0.16
shake roll 1950, cosine similarity=0.19
shake roll 1960, cosine similarity=0.22
shake roll 1970, cosine similarity=0.21
shake roll 1980, cosine similarity=0.25

shake stir 1930, cosine similarity=0.27
shake stir 1940, cosine similarity=0.31
shake stir 1950, cosine similarity=0.32
shake stir 1960, cosine similarity=0.36
shake stir 1970, cosine similarity=0.35
shake stir 1980, cosine similarity=0.35

shake vanilla 1930, cosine similarity=0.10
shake vanilla 1940, cosine similarity=0.21
shake vanilla 1950, cosine similarity=0.18
shake vanilla 1960, cosine similarity=0.11
shake vanilla 1970, cosine similarity=0.18
shake vanilla 1980, cosine similarity=0.16

shake dance 1930, cosine similarity=0.03
shake dance 1940, cosine similarity=0.08
shake dance 1950, cosine similarity=0.06
shake dance 1960, cosine similarity=0.12
shake dance 1970, cosine similarity=0.08
shake dance 1980, cosine similarity=0.10

shake scare 1930, cosine similarity=0.19
shake scare 1940, cosine similarity=0.23
shake scare 1950, cosine similarity=0.18
shake scare 1960, cosine similarity=0.20
shake scare 1970, cosine similarity=0.15
shake scare 1980, cosine similarity=0.17

shake down 1930, cosine similarity=0.18
shake down 1940, cosine similarity=0.25
shake down 1950, cosine similarity=0.17
shake down 1960, cosine similarity=0.20
shake down 1970, cosine similarity=0.23
shake down 1980, cosine similarity=0.17

shake ice cream 1930, cosine similarity=0.00
shake ice cream 1940, cosine similarity=0.00
shake ice cream 1950, cosine similarity=0.00
shake ice cream 1960, cosine similarity=0.00
shake ice cream 1970, cosine similarity=0.00
shake ice cream 1980, cosine similarity=0.00

shake liquid 1930, cosine similarity=0.12
shake liquid 1940, cosine similarity=0.12
shake liquid 1950, cosine similarity=0.12
shake liquid 1960, cosine similarity=0.11
shake liquid 1970, cosine similarity=0.07
shake liquid 1980, cosine similarity=0.01

shake quiver 1930, cosine similarity=0.25
shake quiver 1940, cosine similarity=0.24
shake quiver 1950, cosine similarity=0.21
shake quiver 1960, cosine similarity=0.28
shake quiver 1970, cosine similarity=0.21
shake quiver 1980, cosine similarity=0.25

shake song 1930, cosine similarity=-0.00
shake song 1940, cosine similarity=0.04
shake song 1950, cosine similarity=0.08
shake song 1960, cosine similarity=0.07
shake song 1970, cosine similarity=0.06
shake song 1980, cosine similarity=0.04

shake tremble 1930, cosine similarity=0.35
shake tremble 1940, cosine similarity=0.36
shake tremble 1950, cosine similarity=0.34
shake tremble 1960, cosine similarity=0.40
shake tremble 1970, cosine similarity=0.38
shake tremble 1980, cosine similarity=0.41

shake well 1930, cosine similarity=0.02
shake well 1940, cosine similarity=0.00
shake well 1950, cosine similarity=-0.04
shake well 1960, cosine similarity=-0.10
shake well 1970, cosine similarity=-0.02
shake well 1980, cosine similarity=0.04

shake wiggle 1930, cosine similarity=0.00
shake wiggle 1940, cosine similarity=0.00
shake wiggle 1950, cosine similarity=0.00
shake wiggle 1960, cosine similarity=0.00
shake wiggle 1970, cosine similarity=0.00
shake wiggle 1980, cosine similarity=0.17

shallow deep 1930, cosine similarity=0.41
shallow deep 1940, cosine similarity=0.38
shallow deep 1950, cosine similarity=0.39
shallow deep 1960, cosine similarity=0.43
shallow deep 1970, cosine similarity=0.40
shallow deep 1980, cosine similarity=0.45

shallow water 1930, cosine similarity=0.34
shallow water 1940, cosine similarity=0.29
shallow water 1950, cosine similarity=0.34
shallow water 1960, cosine similarity=0.33
shallow water 1970, cosine similarity=0.34
shallow water 1980, cosine similarity=0.33

shallow pool 1930, cosine similarity=0.36
shallow pool 1940, cosine similarity=0.30
shallow pool 1950, cosine similarity=0.32
shallow pool 1960, cosine similarity=0.26
shallow pool 1970, cosine similarity=0.26
shallow pool 1980, cosine similarity=0.22

shallow low 1930, cosine similarity=0.18
shallow low 1940, cosine similarity=0.19
shallow low 1950, cosine similarity=0.16
shallow low 1960, cosine similarity=0.14
shallow low 1970, cosine similarity=0.17
shallow low 1980, cosine similarity=0.18

shallow depth 1930, cosine similarity=0.34
shallow depth 1940, cosine similarity=0.33
shallow depth 1950, cosine similarity=0.30
shallow depth 1960, cosine similarity=0.29
shallow depth 1970, cosine similarity=0.32
shallow depth 1980, cosine similarity=0.33

shallow creek 1930, cosine similarity=0.21
shallow creek 1940, cosine similarity=0.23
shallow creek 1950, cosine similarity=0.23
shallow creek 1960, cosine similarity=0.21
shallow creek 1970, cosine similarity=0.28
shallow creek 1980, cosine similarity=0.28

shallow empty 1930, cosine similarity=0.24
shallow empty 1940, cosine similarity=0.22
shallow empty 1950, cosine similarity=0.20
shallow empty 1960, cosine similarity=0.27
shallow empty 1970, cosine similarity=0.23
shallow empty 1980, cosine similarity=0.18

shallow short 1930, cosine similarity=0.14
shallow short 1940, cosine similarity=0.15
shallow short 1950, cosine similarity=0.13
shallow short 1960, cosine similarity=0.19
shallow short 1970, cosine similarity=0.14
shallow short 1980, cosine similarity=0.15

shallow grave 1930, cosine similarity=0.22
shallow grave 1940, cosine similarity=0.26
shallow grave 1950, cosine similarity=0.22
shallow grave 1960, cosine similarity=0.22
shallow grave 1970, cosine similarity=0.19
shallow grave 1980, cosine similarity=0.24

shallow stupid 1930, cosine similarity=0.19
shallow stupid 1940, cosine similarity=0.18
shallow stupid 1950, cosine similarity=0.18
shallow stupid 1960, cosine similarity=0.18
shallow stupid 1970, cosine similarity=0.21
shallow stupid 1980, cosine similarity=0.12

shame guilt 1930, cosine similarity=0.43
shame guilt 1940, cosine similarity=0.44
shame guilt 1950, cosine similarity=0.41
shame guilt 1960, cosine similarity=0.48
shame guilt 1970, cosine similarity=0.50
shame guilt 1980, cosine similarity=0.50

shame bad 1930, cosine similarity=0.09
shame bad 1940, cosine similarity=0.13
shame bad 1950, cosine similarity=0.14
shame bad 1960, cosine similarity=0.15
shame bad 1970, cosine similarity=0.15
shame bad 1980, cosine similarity=0.16

shame disgrace 1930, cosine similarity=0.54
shame disgrace 1940, cosine similarity=0.51
shame disgrace 1950, cosine similarity=0.51
shame disgrace 1960, cosine similarity=0.53
shame disgrace 1970, cosine similarity=0.46
shame disgrace 1980, cosine similarity=0.54

shame doubt 1930, cosine similarity=0.10
shame doubt 1940, cosine similarity=0.12
shame doubt 1950, cosine similarity=0.17
shame doubt 1960, cosine similarity=0.19
shame doubt 1970, cosine similarity=0.23
shame doubt 1980, cosine similarity=0.32

shame embarrass 1930, cosine similarity=0.05
shame embarrass 1940, cosine similarity=0.10
shame embarrass 1950, cosine similarity=0.05
shame embarrass 1960, cosine similarity=0.16
shame embarrass 1970, cosine similarity=0.12
shame embarrass 1980, cosine similarity=0.10

shame sorrow 1930, cosine similarity=0.53
shame sorrow 1940, cosine similarity=0.48
shame sorrow 1950, cosine similarity=0.52
shame sorrow 1960, cosine similarity=0.51
shame sorrow 1970, cosine similarity=0.47
shame sorrow 1980, cosine similarity=0.51

shame blame 1930, cosine similarity=0.30
shame blame 1940, cosine similarity=0.33
shame blame 1950, cosine similarity=0.30
shame blame 1960, cosine similarity=0.33
shame blame 1970, cosine similarity=0.36
shame blame 1980, cosine similarity=0.37

shame hide 1930, cosine similarity=0.35
shame hide 1940, cosine similarity=0.33
shame hide 1950, cosine similarity=0.38
shame hide 1960, cosine similarity=0.32
shame hide 1970, cosine similarity=0.37
shame hide 1980, cosine similarity=0.35

shame humiliate 1930, cosine similarity=0.16
shame humiliate 1940, cosine similarity=0.00
shame humiliate 1950, cosine similarity=0.12
shame humiliate 1960, cosine similarity=0.23
shame humiliate 1970, cosine similarity=0.10
shame humiliate 1980, cosine similarity=0.04

shame pity 1930, cosine similarity=0.48
shame pity 1940, cosine similarity=0.47
shame pity 1950, cosine similarity=0.50
shame pity 1960, cosine similarity=0.50
shame pity 1970, cosine similarity=0.52
shame pity 1980, cosine similarity=0.57

shame regret 1930, cosine similarity=0.35
shame regret 1940, cosine similarity=0.33
shame regret 1950, cosine similarity=0.37
shame regret 1960, cosine similarity=0.40
shame regret 1970, cosine similarity=0.41
shame regret 1980, cosine similarity=0.37

shame sorry 1930, cosine similarity=0.20
shame sorry 1940, cosine similarity=0.21
shame sorry 1950, cosine similarity=0.22
shame sorry 1960, cosine similarity=0.23
shame sorry 1970, cosine similarity=0.23
shame sorry 1980, cosine similarity=0.23

shame wrong 1930, cosine similarity=0.20
shame wrong 1940, cosine similarity=0.12
shame wrong 1950, cosine similarity=0.20
shame wrong 1960, cosine similarity=0.15
shame wrong 1970, cosine similarity=0.20
shame wrong 1980, cosine similarity=0.18

shame abuse 1930, cosine similarity=0.10
shame abuse 1940, cosine similarity=0.16
shame abuse 1950, cosine similarity=0.07
shame abuse 1960, cosine similarity=0.14
shame abuse 1970, cosine similarity=0.17
shame abuse 1980, cosine similarity=0.07

shame hurt 1930, cosine similarity=0.27
shame hurt 1940, cosine similarity=0.27
shame hurt 1950, cosine similarity=0.29
shame hurt 1960, cosine similarity=0.28
shame hurt 1970, cosine similarity=0.34
shame hurt 1980, cosine similarity=0.29

shampoo conditioner 1930, cosine similarity=0.00
shampoo conditioner 1940, cosine similarity=0.00
shampoo conditioner 1950, cosine similarity=0.00
shampoo conditioner 1960, cosine similarity=0.00
shampoo conditioner 1970, cosine similarity=0.00
shampoo conditioner 1980, cosine similarity=0.27

shampoo hair 1930, cosine similarity=0.00
shampoo hair 1940, cosine similarity=0.00
shampoo hair 1950, cosine similarity=0.00
shampoo hair 1960, cosine similarity=0.00
shampoo hair 1970, cosine similarity=0.00
shampoo hair 1980, cosine similarity=0.31

shampoo clean 1930, cosine similarity=0.00
shampoo clean 1940, cosine similarity=0.00
shampoo clean 1950, cosine similarity=0.00
shampoo clean 1960, cosine similarity=0.00
shampoo clean 1970, cosine similarity=0.00
shampoo clean 1980, cosine similarity=0.28

shampoo wash 1930, cosine similarity=0.00
shampoo wash 1940, cosine similarity=0.00
shampoo wash 1950, cosine similarity=0.00
shampoo wash 1960, cosine similarity=0.00
shampoo wash 1970, cosine similarity=0.00
shampoo wash 1980, cosine similarity=0.27

shampoo soap 1930, cosine similarity=0.00
shampoo soap 1940, cosine similarity=0.00
shampoo soap 1950, cosine similarity=0.00
shampoo soap 1960, cosine similarity=0.00
shampoo soap 1970, cosine similarity=0.00
shampoo soap 1980, cosine similarity=0.42

shampoo pert 1930, cosine similarity=0.00
shampoo pert 1940, cosine similarity=0.00
shampoo pert 1950, cosine similarity=0.00
shampoo pert 1960, cosine similarity=0.00
shampoo pert 1970, cosine similarity=0.00
shampoo pert 1980, cosine similarity=0.05

shampoo shower 1930, cosine similarity=0.00
shampoo shower 1940, cosine similarity=0.00
shampoo shower 1950, cosine similarity=0.00
shampoo shower 1960, cosine similarity=0.00
shampoo shower 1970, cosine similarity=0.00
shampoo shower 1980, cosine similarity=0.30

shape mold 1930, cosine similarity=0.21
shape mold 1940, cosine similarity=0.29
shape mold 1950, cosine similarity=0.28
shape mold 1960, cosine similarity=0.26
shape mold 1970, cosine similarity=0.27
shape mold 1980, cosine similarity=0.27

shape figure 1930, cosine similarity=0.26
shape figure 1940, cosine similarity=0.29
shape figure 1950, cosine similarity=0.25
shape figure 1960, cosine similarity=0.29
shape figure 1970, cosine similarity=0.23
shape figure 1980, cosine similarity=0.29

shape form 1930, cosine similarity=0.47
shape form 1940, cosine similarity=0.33
shape form 1950, cosine similarity=0.36
shape form 1960, cosine similarity=0.35
shape form 1970, cosine similarity=0.38
shape form 1980, cosine similarity=0.31

shape round 1930, cosine similarity=0.21
shape round 1940, cosine similarity=0.22
shape round 1950, cosine similarity=0.13
shape round 1960, cosine similarity=0.17
shape round 1970, cosine similarity=0.25
shape round 1980, cosine similarity=0.22

shape size 1930, cosine similarity=0.50
shape size 1940, cosine similarity=0.53
shape size 1950, cosine similarity=0.54
shape size 1960, cosine similarity=0.48
shape size 1970, cosine similarity=0.47
shape size 1980, cosine similarity=0.45

shape body 1930, cosine similarity=0.22
shape body 1940, cosine similarity=0.21
shape body 1950, cosine similarity=0.16
shape body 1960, cosine similarity=0.22
shape body 1970, cosine similarity=0.25
shape body 1980, cosine similarity=0.22

shape up 1930, cosine similarity=-0.00
shape up 1940, cosine similarity=0.00
shape up 1950, cosine similarity=0.04
shape up 1960, cosine similarity=0.06
shape up 1970, cosine similarity=0.03
shape up 1980, cosine similarity=0.06

shape circle 1930, cosine similarity=0.16
shape circle 1940, cosine similarity=0.14
shape circle 1950, cosine similarity=0.11
shape circle 1960, cosine similarity=0.12
shape circle 1970, cosine similarity=0.11
shape circle 1980, cosine similarity=0.20

shape square 1930, cosine similarity=0.13
shape square 1940, cosine similarity=0.20
shape square 1950, cosine similarity=0.15
shape square 1960, cosine similarity=0.17
shape square 1970, cosine similarity=0.23
shape square 1980, cosine similarity=0.25

shape object 1930, cosine similarity=0.19
shape object 1940, cosine similarity=0.21
shape object 1950, cosine similarity=0.16
shape object 1960, cosine similarity=0.21
shape object 1970, cosine similarity=0.22
shape object 1980, cosine similarity=0.19

shape fat 1930, cosine similarity=0.13
shape fat 1940, cosine similarity=0.06
shape fat 1950, cosine similarity=0.03
shape fat 1960, cosine similarity=0.11
shape fat 1970, cosine similarity=0.12
shape fat 1980, cosine similarity=0.11

shape carve 1930, cosine similarity=0.15
shape carve 1940, cosine similarity=0.14
shape carve 1950, cosine similarity=0.11
shape carve 1960, cosine similarity=0.09
shape carve 1970, cosine similarity=0.15
shape carve 1980, cosine similarity=0.16

shape contour 1930, cosine similarity=0.35
shape contour 1940, cosine similarity=0.37
shape contour 1950, cosine similarity=0.38
shape contour 1960, cosine similarity=0.40
shape contour 1970, cosine similarity=0.38
shape contour 1980, cosine similarity=0.43

shape curve 1930, cosine similarity=0.29
shape curve 1940, cosine similarity=0.34
shape curve 1950, cosine similarity=0.30
shape curve 1960, cosine similarity=0.37
shape curve 1970, cosine similarity=0.33
shape curve 1980, cosine similarity=0.34

shape exercise 1930, cosine similarity=-0.04
shape exercise 1940, cosine similarity=-0.03
shape exercise 1950, cosine similarity=-0.07
shape exercise 1960, cosine similarity=-0.09
shape exercise 1970, cosine similarity=-0.05
shape exercise 1980, cosine similarity=-0.05

shape good 1930, cosine similarity=0.06
shape good 1940, cosine similarity=0.07
shape good 1950, cosine similarity=0.03
shape good 1960, cosine similarity=0.06
shape good 1970, cosine similarity=0.08
shape good 1980, cosine similarity=0.14

shape in 1930, cosine similarity=0.02
shape in 1940, cosine similarity=0.02
shape in 1950, cosine similarity=0.03
shape in 1960, cosine similarity=0.05
shape in 1970, cosine similarity=0.07
shape in 1980, cosine similarity=0.14

shape triangle 1930, cosine similarity=0.23
shape triangle 1940, cosine similarity=0.23
shape triangle 1950, cosine similarity=0.24
shape triangle 1960, cosine similarity=0.25
shape triangle 1970, cosine similarity=0.24
shape triangle 1980, cosine similarity=0.25

share give 1930, cosine similarity=0.11
share give 1940, cosine similarity=0.19
share give 1950, cosine similarity=0.18
share give 1960, cosine similarity=0.20
share give 1970, cosine similarity=0.22
share give 1980, cosine similarity=0.14

share friend 1930, cosine similarity=0.07
share friend 1940, cosine similarity=-0.03
share friend 1950, cosine similarity=0.10
share friend 1960, cosine similarity=-0.04
share friend 1970, cosine similarity=0.02
share friend 1980, cosine similarity=0.07

share food 1930, cosine similarity=0.11
share food 1940, cosine similarity=0.13
share food 1950, cosine similarity=0.15
share food 1960, cosine similarity=0.16
share food 1970, cosine similarity=0.16
share food 1980, cosine similarity=0.18

share stock 1930, cosine similarity=0.33
share stock 1940, cosine similarity=0.30
share stock 1950, cosine similarity=0.35
share stock 1960, cosine similarity=0.36
share stock 1970, cosine similarity=0.39
share stock 1980, cosine similarity=0.31

share take 1930, cosine similarity=0.16
share take 1940, cosine similarity=0.20
share take 1950, cosine similarity=0.20
share take 1960, cosine similarity=0.16
share take 1970, cosine similarity=0.22
share take 1980, cosine similarity=0.22

share together 1930, cosine similarity=0.06
share together 1940, cosine similarity=0.06
share together 1950, cosine similarity=0.15
share together 1960, cosine similarity=0.12
share together 1970, cosine similarity=0.14
share together 1980, cosine similarity=0.14

share money 1930, cosine similarity=0.19
share money 1940, cosine similarity=0.22
share money 1950, cosine similarity=0.29
share money 1960, cosine similarity=0.30
share money 1970, cosine similarity=0.30
share money 1980, cosine similarity=0.25

share selfish 1930, cosine similarity=-0.01
share selfish 1940, cosine similarity=0.07
share selfish 1950, cosine similarity=0.08
share selfish 1960, cosine similarity=0.07
share selfish 1970, cosine similarity=0.03
share selfish 1980, cosine similarity=0.01

share toys 1930, cosine similarity=0.00
share toys 1940, cosine similarity=0.09
share toys 1950, cosine similarity=0.12
share toys 1960, cosine similarity=0.14
share toys 1970, cosine similarity=0.08
share toys 1980, cosine similarity=0.05

share giving 1930, cosine similarity=0.10
share giving 1940, cosine similarity=0.16
share giving 1950, cosine similarity=0.15
share giving 1960, cosine similarity=0.15
share giving 1970, cosine similarity=0.18
share giving 1980, cosine similarity=0.13

share help 1930, cosine similarity=0.06
share help 1940, cosine similarity=0.07
share help 1950, cosine similarity=0.06
share help 1960, cosine similarity=0.08
share help 1970, cosine similarity=0.11
share help 1980, cosine similarity=0.04

share kind 1930, cosine similarity=0.03
share kind 1940, cosine similarity=-0.01
share kind 1950, cosine similarity=0.04
share kind 1960, cosine similarity=0.11
share kind 1970, cosine similarity=0.07
share kind 1980, cosine similarity=0.08

share love 1930, cosine similarity=0.20
share love 1940, cosine similarity=0.08
share love 1950, cosine similarity=0.16
share love 1960, cosine similarity=0.10
share love 1970, cosine similarity=0.16
share love 1980, cosine similarity=0.11

share alike 1930, cosine similarity=0.19
share alike 1940, cosine similarity=0.13
share alike 1950, cosine similarity=0.23
share alike 1960, cosine similarity=0.15
share alike 1970, cosine similarity=0.16
share alike 1980, cosine similarity=0.13

share exchange 1930, cosine similarity=0.08
share exchange 1940, cosine similarity=0.20
share exchange 1950, cosine similarity=0.21
share exchange 1960, cosine similarity=0.19
share exchange 1970, cosine similarity=0.14
share exchange 1980, cosine similarity=0.16

share generous 1930, cosine similarity=0.13
share generous 1940, cosine similarity=0.17
share generous 1950, cosine similarity=0.19
share generous 1960, cosine similarity=0.15
share generous 1970, cosine similarity=0.12
share generous 1980, cosine similarity=0.16

share nice 1930, cosine similarity=-0.02
share nice 1940, cosine similarity=-0.02
share nice 1950, cosine similarity=-0.01
share nice 1960, cosine similarity=-0.02
share nice 1970, cosine similarity=0.00
share nice 1980, cosine similarity=0.08

share split 1930, cosine similarity=0.05
share split 1940, cosine similarity=-0.04
share split 1950, cosine similarity=0.01
share split 1960, cosine similarity=0.00
share split 1970, cosine similarity=0.09
share split 1980, cosine similarity=0.06

share stingy 1930, cosine similarity=0.00
share stingy 1940, cosine similarity=0.00
share stingy 1950, cosine similarity=0.00
share stingy 1960, cosine similarity=0.07
share stingy 1970, cosine similarity=0.02
share stingy 1980, cosine similarity=-0.10

share ware 1930, cosine similarity=-0.09
share ware 1940, cosine similarity=-0.11
share ware 1950, cosine similarity=-0.12
share ware 1960, cosine similarity=-0.04
share ware 1970, cosine similarity=-0.14
share ware 1980, cosine similarity=-0.15

shark jaws 1930, cosine similarity=0.32
shark jaws 1940, cosine similarity=0.22
shark jaws 1950, cosine similarity=0.35
shark jaws 1960, cosine similarity=0.29
shark jaws 1970, cosine similarity=0.23
shark jaws 1980, cosine similarity=0.29

shark fish 1930, cosine similarity=0.33
shark fish 1940, cosine similarity=0.30
shark fish 1950, cosine similarity=0.35
shark fish 1960, cosine similarity=0.36
shark fish 1970, cosine similarity=0.34
shark fish 1980, cosine similarity=0.35

shark bite 1930, cosine similarity=0.28
shark bite 1940, cosine similarity=0.29
shark bite 1950, cosine similarity=0.34
shark bite 1960, cosine similarity=0.31
shark bite 1970, cosine similarity=0.19
shark bite 1980, cosine similarity=0.19

shark tooth 1930, cosine similarity=0.22
